venta_id,cliente_id,producto_id,fecha_venta,cantidad,precio_unitario,total,canal,sucursal,vendedor
V0001,C038,P042,2026-01-27,8,493.53,3948.24,Web,Miraflores,Sabina Falcó-Novoa
V0002,C057,P027,2026-03-24,4,683.68,2734.72,Call Center,Trujillo,Olegario del Palmer
V0003,C017,P049,2025-12-29,9,216.84,1951.56,Tienda,Lima Centro,Telmo Che Escrivá Marin
V0004,C007,P019,2025-07-22,10,839.18,8391.8,Call Center,Miraflores,Belen Jordán España
V0005,C098,P011,2026-03-05,9,936.3,8426.7,Marketplace,Trujillo,Morena Borrell Girón
V0006,C031,P014,2025-10-30,1,105.83,105.83,Marketplace,Arequipa,Ramón del Rivero
V0007,C069,P001,2026-04-17,7,272.2,1905.4,Web,Trujillo,Florencia Juliá Mariscal
V0008,C007,P037,2025-12-12,6,1108.68,6703.0,Web,Miraflores,Joel Baeza Belda
V0009,C013,P026,2025-12-15,6,1117.87,6707.22,Marketplace,Lima Centro,Josué Carretero
V0010,C006,P003,2026-05-17,6,1608.91,9653.46,Tienda,Arequipa,Luisa Martín Reyes
V0011,C120,P040,2025-07-05,7,1981.28,13868.96,Marketplace,Arequipa,Bruno Fonseca Noriega
V0012,C061,P053,2025-11-20,0,665.82,0.0,Web,Trujillo,Virginia Seco-Clemente
V0013,C034,P042,2025-10-15,10,1157.38,11573.8,Marketplace,Miraflores,Roque Berrocal Torrent
V0014,C106,P044,2026-07-11,10,1896.67,18966.7,Marketplace,Miraflores,Faustino Barco Acuña
V0015,C053,P033,2025-12-07,8,1746.27,13970.16,Tienda,Arequipa,Cruz Domingo-Cuadrado
V0016,C085,P031,2025-12-22,6,1913.59,11481.54,Call Center,Trujillo,Berto Roura Román
V0017,C025,P016,2025-11-18,5,453.61,2268.05,Tienda,Trujillo,Judith Pla Acuña
V0018,C041,P031,2025-06-29,5,579.14,2895.7,Marketplace,Arequipa,Chus del Alcalá
V0019,C099,P052,2026-05-27,1,578.82,578.82,Call Center,Trujillo,Prudencia Farré Alemán
V0020,C028,P013,2026-03-04,5,1866.38,9331.9,Tienda,Miraflores,Matías Ibarra Gonzalo
V0021,C007,P043,2026-03-11,4,1277.7,5152.72,Tienda,Lima Centro,Esperanza Castelló Calderon
V0022,C071,P060,2025-11-10,8,957.51,7660.08,Web,Lima Centro,Marita Maza
